,Test_loss,Test_Acc,Test_F1,Test_AUROC,Test_loss,Test_Acc,Test_F1,Test_AUROC
3_knn_robust_,0.0,0.9093283582089552,0.7301352987133138,0.6804312743457418,0.0,0.011843709140376028,0.04451374227951388,0.04017698792097718
3_lr_robust_,0.0,0.9264925373134328,0.8164948305539312,0.7856472340260409,0.0,0.009567821943998571,0.027864575480663338,0.03182479232176497
3_svm_robust_,0.0,0.916044776119403,0.8043153523973476,0.7896174514246005,0.0,0.0254443688376602,0.037062531466788395,0.042375508265303084
3_rf_robust_,0.0,0.9522388059701492,0.8786093777355539,0.8389625366664968,0.0,0.015474956233826645,0.04287117016488429,0.05212036287973603
3_gbt_robust_,0.0,0.9447761194029852,0.8620884139760676,0.83476604800942,0.0,0.021049869712788594,0.05968905747201722,0.07527379908836639
3_xgb_robust_,0.0,0.9615671641791044,0.9062457781297312,0.8777077892190682,0.0,0.01009878253934656,0.028644020759636808,0.043035659416239616
3_lightGBM_robust_,0.0,0.9626865671641792,0.9085212821501146,0.8783928132519565,0.0,0.011037462281902216,0.030467623735802092,0.04549480713568367
3_lightGBM_robust_ROS,0.0,0.9638059701492536,0.9126392137776907,0.8901945782335383,0.0,0.01442732457401577,0.03871298390048769,0.054428460177072466
3_lightGBM_robust_WROS,0.0,0.9529850746268658,0.8978244865627507,0.9111619832643452,0.0,0.008385151139643368,0.019633744558391824,0.03598716812126271
3_lightGBM_robust_SMOTE,0.0,0.9600746268656716,0.910299072154814,0.9090529625537046,0.0,0.009384161447730868,0.0215672508536046,0.028266563555882043
3_lightGBM_robust_ADASYN,0.0,0.958955223880597,0.908351948474538,0.9109021623397544,0.0,0.010553832555023129,0.02491374992903631,0.0361002764952288
